Search Query	 || 		Document with keyword	 || 	"total documents/appeared documents"	 || 	"log_10(N)"

Canada			 || 			67.0				 || 			9.388059701492537				 || 	0.9725758427444425
Moncton			 || 			12.0				 || 			52.416666666666664				 || 	1.719469399397644
Toronto			 || 			34.0				 || 			18.5							 || 	1.2671717284030137


Canada Appeared in 67 Documents	 || 	Total Words		 || 		Frequency

ARTICLE#348						 || 			81		 || 			0
ARTICLE#349						 || 			30		 || 			1
ARTICLE#350						 || 			90		 || 			0
ARTICLE#351						 || 			93		 || 			0
ARTICLE#352						 || 			93		 || 			0
ARTICLE#353						 || 			108		 || 			0
ARTICLE#354						 || 			105		 || 			0
ARTICLE#355						 || 			108		 || 			0
ARTICLE#356						 || 			99		 || 			0
ARTICLE#357						 || 			31		 || 			1
ARTICLE#358						 || 			90		 || 			0
ARTICLE#359						 || 			108		 || 			0
ARTICLE#360						 || 			84		 || 			0
ARTICLE#361						 || 			96		 || 			0
ARTICLE#362						 || 			102		 || 			0
ARTICLE#363						 || 			31		 || 			2
ARTICLE#364						 || 			105		 || 			0
ARTICLE#365						 || 			68		 || 			0
ARTICLE#366						 || 			84		 || 			0
ARTICLE#367						 || 			29		 || 			1
ARTICLE#368						 || 			93		 || 			0
ARTICLE#369						 || 			102		 || 			0
ARTICLE#370						 || 			99		 || 			0
ARTICLE#371						 || 			114		 || 			0
ARTICLE#372						 || 			102		 || 			0
ARTICLE#373						 || 			93		 || 			0
ARTICLE#374						 || 			84		 || 			0
ARTICLE#375						 || 			93		 || 			0
ARTICLE#376						 || 			108		 || 			0
ARTICLE#377						 || 			108		 || 			0
ARTICLE#378						 || 			93		 || 			0
ARTICLE#379						 || 			102		 || 			0
ARTICLE#380						 || 			108		 || 			0
ARTICLE#381						 || 			96		 || 			0
ARTICLE#382						 || 			93		 || 			0
ARTICLE#383						 || 			96		 || 			0
ARTICLE#384						 || 			111		 || 			0
ARTICLE#385						 || 			96		 || 			0
ARTICLE#386						 || 			90		 || 			0
ARTICLE#387						 || 			108		 || 			0
ARTICLE#388						 || 			102		 || 			0
ARTICLE#389						 || 			114		 || 			0
ARTICLE#390						 || 			99		 || 			0
ARTICLE#391						 || 			78		 || 			0
ARTICLE#392						 || 			72		 || 			0
ARTICLE#393						 || 			90		 || 			0
ARTICLE#394						 || 			84		 || 			0
ARTICLE#395						 || 			111		 || 			0
ARTICLE#396						 || 			35		 || 			1
ARTICLE#397						 || 			93		 || 			0
ARTICLE#398						 || 			84		 || 			0
ARTICLE#399						 || 			90		 || 			0
ARTICLE#400						 || 			99		 || 			0
ARTICLE#401						 || 			96		 || 			0
ARTICLE#402						 || 			96		 || 			0
ARTICLE#403						 || 			102		 || 			0
ARTICLE#404						 || 			105		 || 			0
ARTICLE#405						 || 			99		 || 			0
ARTICLE#406						 || 			35		 || 			1
ARTICLE#407						 || 			102		 || 			0
ARTICLE#408						 || 			105		 || 			0
ARTICLE#409						 || 			105		 || 			0
ARTICLE#410						 || 			102		 || 			0
ARTICLE#411						 || 			105		 || 			0
ARTICLE#412						 || 			93		 || 			0
ARTICLE#413						 || 			87		 || 			0
ARTICLE#414						 || 			28		 || 			2
ARTICLE#415						 || 			102		 || 			0
ARTICLE#416						 || 			96		 || 			0
ARTICLE#417						 || 			81		 || 			0
ARTICLE#418						 || 			105		 || 			0
ARTICLE#419						 || 			81		 || 			0
ARTICLE#420						 || 			99		 || 			0
ARTICLE#421						 || 			28		 || 			1
ARTICLE#422						 || 			93		 || 			0
ARTICLE#423						 || 			93		 || 			0
ARTICLE#424						 || 			108		 || 			0
ARTICLE#425						 || 			114		 || 			0
ARTICLE#426						 || 			102		 || 			0
ARTICLE#427						 || 			102		 || 			0
ARTICLE#428						 || 			96		 || 			0
ARTICLE#429						 || 			87		 || 			0
ARTICLE#430						 || 			90		 || 			0
ARTICLE#431						 || 			90		 || 			0
ARTICLE#432						 || 			108		 || 			0
ARTICLE#433						 || 			99		 || 			0
ARTICLE#434						 || 			28		 || 			1
ARTICLE#435						 || 			120		 || 			0
ARTICLE#436						 || 			93		 || 			0
ARTICLE#437						 || 			90		 || 			0
ARTICLE#438						 || 			102		 || 			0
ARTICLE#439						 || 			87		 || 			0
ARTICLE#440						 || 			96		 || 			0
ARTICLE#441						 || 			31		 || 			1
ARTICLE#442						 || 			81		 || 			0
ARTICLE#443						 || 			102		 || 			0
ARTICLE#444						 || 			99		 || 			0
ARTICLE#445						 || 			35		 || 			1
ARTICLE#446						 || 			114		 || 			0
ARTICLE#447						 || 			108		 || 			0
ARTICLE#448						 || 			102		 || 			0
ARTICLE#449						 || 			84		 || 			0
ARTICLE#450						 || 			66		 || 			0
ARTICLE#451						 || 			102		 || 			0
ARTICLE#452						 || 			99		 || 			0
ARTICLE#453						 || 			87		 || 			0
ARTICLE#454						 || 			87		 || 			0
ARTICLE#455						 || 			96		 || 			0
ARTICLE#456						 || 			99		 || 			0
ARTICLE#457						 || 			96		 || 			0
ARTICLE#458						 || 			96		 || 			0
ARTICLE#459						 || 			93		 || 			0
ARTICLE#460						 || 			87		 || 			0
ARTICLE#461						 || 			96		 || 			0
ARTICLE#462						 || 			102		 || 			0
ARTICLE#463						 || 			108		 || 			0
ARTICLE#464						 || 			99		 || 			0
ARTICLE#465						 || 			102		 || 			0
ARTICLE#466						 || 			105		 || 			0
ARTICLE#467						 || 			108		 || 			0
ARTICLE#468						 || 			108		 || 			0
ARTICLE#469						 || 			99		 || 			0
ARTICLE#470						 || 			105		 || 			0
ARTICLE#471						 || 			102		 || 			0
ARTICLE#472						 || 			105		 || 			0
ARTICLE#473						 || 			108		 || 			0
ARTICLE#474						 || 			87		 || 			0
ARTICLE#475						 || 			99		 || 			0
ARTICLE#476						 || 			108		 || 			0
ARTICLE#477						 || 			81		 || 			0
ARTICLE#478						 || 			93		 || 			0
ARTICLE#479						 || 			96		 || 			0
ARTICLE#480						 || 			99		 || 			0
ARTICLE#481						 || 			96		 || 			0
ARTICLE#482						 || 			114		 || 			0
ARTICLE#483						 || 			117		 || 			0
ARTICLE#484						 || 			99		 || 			0
ARTICLE#485						 || 			35		 || 			1
ARTICLE#486						 || 			102		 || 			0
ARTICLE#487						 || 			99		 || 			0
ARTICLE#488						 || 			93		 || 			0
ARTICLE#489						 || 			102		 || 			0
ARTICLE#490						 || 			90		 || 			0
ARTICLE#491						 || 			105		 || 			0
ARTICLE#492						 || 			105		 || 			0
